post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47578572,Turning a MacBook into a touchscreen with $1 of hardware (2018),worldnews,406,229,HughParry,2026-04-02 15:30:35,0.5626535626535627,True
47603534,A new way to measure poverty shows the US falling behind Europe,entertainment,92,81,_DeadFred_,2026-04-02 15:30:37,0.8709677419354839,False
47566143,My MacBook keyboard is broken and it's insanely expensive to fix,entertainment,381,532,TobiasBerg,2026-04-02 15:30:40,1.3926701570680629,True
47588324,Show HN: Sundial – a new way to look at a weather forecast,entertainment,58,24,izaidi,2026-04-02 15:30:51,0.4067796610169492,False
47608790,The Longest-Running Vaporware Project in the History of Computing,worldnews,12,2,YounesDz,2026-04-02 15:31:21,0.15384615384615385,False
47575403,CodingFont: A game to help you pick a coding font,sports,489,236,nvahalik,2026-04-02 15:31:35,0.4816326530612245,True
47585860,"In Expanding de Sitter Space, Quantum Mechanics Gets More Elusive",science,32,2,pseudolus,2026-04-02 15:31:50,0.06060606060606061,False
47598415,A million new SpaceX satellites will destroy the night sky,science,48,39,01-_-,2026-04-02 15:31:51,0.7959183673469388,False
47557299,Hardware Image Compression,worldnews,72,15,luu,2026-04-02 15:31:54,0.2054794520547945,False
47605132,"SpaceX files for IPO, targets $1.75T valuation",science,11,2,AndrewDucker,2026-04-02 15:32:15,0.16666666666666666,False
47558094,Show HN: QuickBEAM – run JavaScript as supervised Erlang/OTP processes,entertainment,110,16,dannote,2026-04-02 15:32:51,0.14414414414414414,False
47540833,Hold on to Your Hardware,worldnews,661,533,LucidLynx,2026-04-02 15:33:36,0.8051359516616314,True
47567049,Show HN: Crazierl – An Erlang Operating System,entertainment,72,14,toast0,2026-04-02 15:33:38,0.1917808219178082,False
47563103,"Show HN: BreezePDF – Free, in-browser PDF editor",entertainment,96,46,philjohnson,2026-04-02 15:34:00,0.4742268041237113,False
47590153,Facial Recognition Errors Affect Millions Globally,worldnews,6,0,pseudolus,2026-04-02 15:34:02,0.0,False
47605235,NASA's Artemis II Crew Launches to the Moon (Official Broadcast) [video],science,5,1,twalichiewicz,2026-04-02 15:34:03,0.16666666666666666,False
47589451,Show HN: Hyprmoncfg – Terminal-based monitor config manager for Hyprland,entertainment,11,4,earcar,2026-04-02 15:34:07,0.3333333333333333,False
47587191,Show HN: Rust UEFI UI Lib,entertainment,6,2,supernihil,2026-04-02 15:34:19,0.2857142857142857,False
47565831,"Show HN: I made a ""programming language"" looking for feedback",entertainment,37,39,alonsovm,2026-04-02 15:34:21,1.0263157894736843,False
47556033,rpg.actor Game Jam,sports,80,6,Kye,2026-04-02 15:34:30,0.07407407407407407,False
47595721,Iran's Revolutionary Guards Declares War on Silicon Valley,worldnews,18,12,mikelgan,2026-04-02 15:34:32,0.631578947368421,False
47603696,Pesticides and cancer: researchers find a connection at the national level,science,6,1,MrDresden,2026-04-02 15:34:35,0.14285714285714285,False
47592280,Show HN: Multi-agent autoresearch for ANE inference beats Apple's CoreML by 6×,science,6,0,christinetyip,2026-04-02 15:34:36,0.0,False
47571401,Show HN: The Alphabetical Clock,entertainment,40,24,secretdark,2026-04-02 15:34:42,0.5853658536585366,False
47575910,Show HN: A 3D Body Scan for Nine Cents – Without SMPL,entertainment,17,4,arkadiuss,2026-04-02 15:34:49,0.2222222222222222,False
47603123,Show HN: Aphelo – A Redis-like store in C++ with Progressive Rehashing,entertainment,5,1,pranit_garje,2026-04-02 15:34:51,0.16666666666666666,False
47546911,Capability-Based Security for Redox: Namespace and CWD as Capabilities,science,64,9,ejplatzer,2026-04-02 15:34:55,0.13846153846153847,False
47589900,Show HN: Lazy-tool: reducing prompt bloat in MCP-based agent workflows,entertainment,21,2,like-to-code1,2026-04-02 15:34:58,0.09090909090909091,False
47601957,Launch day has arrived for NASA's Artemis II mission–here's what to expect,science,5,0,Archelaos,2026-04-02 15:35:04,0.0,False
47604354,TurboQuant KV Compression and SSD Expert Streaming for M5 Pro and IOS,entertainment,76,46,aegis_camera,2026-04-02 15:35:12,0.5974025974025974,False
47601055,Mapping pesticides to cancer risk at the country scale with spatial exposomics,worldnews,6,0,bonsai_spool,2026-04-02 15:35:19,0.0,False
47593627,NASA Teams Readying Artemis II Moon Rocket for Launch,sports,11,0,benlarweh,2026-04-02 15:35:23,0.0,False
47596125,Intel SGX: Global Wrapping Key Extracted,worldnews,17,3,fogzen,2026-04-02 15:35:24,0.16666666666666666,False
47571705,Sad Story of Soviet Compact Disc Players,sports,9,1,thenthenthen,2026-04-02 15:35:40,0.1,False
