post_id,title,category,score,num_comments,author,collected_at
47609694,Email obfuscation: What works in 2026?,technology,126,30,jaden,2026-04-02 15:27:28
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,369,163,hkmaxpro,2026-04-02 15:27:29
47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,technology,40,13,jackson-mcd,2026-04-02 15:27:31
47558531,AI Perfected Chess. Humans Made It Unpredictable Again,technology,38,32,GMoromisato,2026-04-02 15:27:36
47609725,Show HN: NASA Artemis II Mission Timeline Tracker,science,52,10,AustinDev,2026-04-02 15:27:37
47557921,Show HN: Git bayesect – Bayesian Git bisection for non-deterministic bugs,entertainment,277,41,hauntsaninja,2026-04-02 15:27:39
47603737,AI for American-produced cement and concrete,technology,193,113,latchkey,2026-04-02 15:27:42
47605677,Signing data structures the wrong way,technology,104,45,malgorithms,2026-04-02 15:27:45
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,85,67,kasparnoor,2026-04-02 15:27:46
47557385,The revenge of the data scientist,technology,142,28,hamelsmu,2026-04-02 15:27:48
47604155,SpaceX files to go public,science,312,418,nutjob2,2026-04-02 15:27:49
47609294,The Claude Code Leak,technology,149,130,mergesort,2026-04-02 15:27:55
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,33,6,ruevs,2026-04-02 15:28:00
47603966,Show HN: Flight-Viz – 10K flights on a 3D globe in 3.5MB of Rust+WASM,entertainment,75,38,coolwulf,2026-04-02 15:28:02
47599510,"Random numbers, Persian code: A mysterious signal transfixes radio sleuths",technology,114,115,thinkingemote,2026-04-02 15:28:03
47575061,"Show HN: QWERTY mini Pro – Why a 2-row, 16-key keyboard works better",entertainment,7,5,QWERTYmini,2026-04-02 15:28:04
47571183,Show HN: CLI to order groceries via reverse-engineered REWE API (Haskell),technology,191,80,wazHFsRy,2026-04-02 15:28:05
47565307,Windows 95 defenses against installers that overwrite a file with an older one,technology,148,77,michelangelo,2026-04-02 15:28:06
47609883,"Salomi, a research repo on extreme low-bit transformer quantization",science,10,2,Edward9055,2026-04-02 15:28:08
47609425,Show HN: We open-sourced our content writing workflow as a Claude Code skill,technology,7,3,arximughal,2026-04-02 15:28:12
47609372,"Show HN: Semantic atlas of 188 constitutions in 3D (30k articles, embeddings)",entertainment,8,1,joaoli131,2026-04-02 15:28:14
47574871,"Show HN: Zerobox – Sandbox any command with file, network, credential controls",entertainment,124,86,afshinmeh,2026-04-02 15:28:16
47572878,How-to guide: Commissioning a Sensor Physics R&D Lab,science,40,4,MagneLauritzen,2026-04-02 15:28:20
47572714,Escaping the Ogallala Trap,technology,11,14,surprisetalk,2026-04-02 15:28:25
47608155,"ZomboCom stolen by a hacker, sold, now replaced with AI-generated makeover",technology,68,31,bananaboy,2026-04-02 15:28:26
47565350,An Introduction to Writing Systems and Unicode,technology,63,13,mariuz,2026-04-02 15:28:28
47592755,OpenAI closes funding round at an $852B valuation,technology,517,485,surprisetalk,2026-04-02 15:28:31
47609752,The future of code search is not regex – 100x faster than ripgrep,technology,50,32,neogoose,2026-04-02 15:28:32
47610336,r/programming bans all discussion of LLM programming,technology,138,132,cryptoz,2026-04-02 15:28:35
47608130,Montana referendum to outlaw corporate campaign contributions [video],technology,56,10,le-mark,2026-04-02 15:28:37
47558733,From 300KB to 69KB per Token: How LLM Architectures Solve the KV Cache Problem,technology,155,11,future-shock-ai,2026-04-02 15:28:40
47604245,Ukrainian drone holds position for 6 weeks,technology,150,167,AftHurrahWinch,2026-04-02 15:28:41
47604218,The AI Marketing BS Index,technology,100,20,speckx,2026-04-02 15:28:44
47609316,Refine: AI-Powered Peer Review,technology,5,1,maxutility,2026-04-02 15:28:46
47593634,Ordinary Lab Gloves May Have Skewed Microplastic Data,technology,135,52,WaitWaitWha,2026-04-02 15:28:47
47602986,Show HN: Real-time dashboard for Claude Code agent teams,technology,71,22,simple10,2026-04-02 15:28:49
47589856,Show HN: Postgres extension for BM25 relevance-ranked full-text search,entertainment,188,57,tjgreen,2026-04-02 15:28:50
